a	0.66667	0.46153	0.33333
abandon	0.33333	0.79167	0.8
abandoned	0.38097	0.7	1
abandonment	0.33333	0.66667	0.46667
abated	0.55557	0.44443	0.4
abilities	0.83333	0.7037	0.73333
ability	0.85713	0.83333	0.8
able	0.73333	0.54167	0.66667
abnormal	0.33333	0.66667	0.8
aboard	0.6	0.625	0.93333
abolition	0.5	0.72727	0.53333
abortion	0.33333	0.9091	0.86667
about	0.57143	0.43333	0.46667
above	0.73333	0.41667	0.8
abroad	0.86667	0.58333	0.73333
abrupt	0.42857	0.76667	0.8
abruptly	0.38097	0.73333	0.73333
abscess	0.375	0.51517	0.66667
absence	0.5	0.51853	0.86667
absent	0.33333	0.43333	0.66667
absolute	0.55557	0.48147	0.53333
absolutely	0.53333	0.5	0.6
absorb	0.6	0.58333	0.73333
absorbed	0.46667	0.54167	0.66667
absorption	0.5926	0.55557	0.53333
abstract	0.55557	0.48147	0.6
abstraction	0.4762	0.46667	0.53333
absurd	0.33333	0.5	0.73333
abundance	0.8889	0.51853	1
abuse	0.4762	0.83333	1
abusers	0.41667	0.9091	0.86667
abusing	0.41667	0.9394	0.86667
abusive	0.55557	0.8889	0.8
abut	0.57143	0.46667	0.4
academic	0.6	0.5	0.86667
academy	0.66667	0.54167	1
accelerated	0.72223	0.8148	1
acceleration	0.7619	0.83333	0.8
accept	0.8148	0.5	0.6
acceptable	0.62963	0.5	0.46667
acceptance	0.83333	0.4762	0.53333
accepted	0.55557	0.44443	0.6
accepting	0.5	0.42857	0.66667
access	0.81817	0.64103	0.8
accident	0.33333	0.79167	1
accommodate	0.66667	0.57143	0.8
accompanied	0.7143	0.73333	0.8
accompanying	0.6111	0.7037	0.66667
accomplish	0.91667	0.78787	0.66667
accomplished	0.90477	0.8	0.66667
accomplishments	0.875	0.75757	0.8
accordance	0.66667	0.51853	0.53333
according	0.55557	0.55557	0.4
accordingly	0.6	0.45833	0.46667
account	0.53333	0.5	0.6
accounting	0.5	0.66667	0.8
accounts	0.51853	0.58333	0.73333
accumulated	0.61903	0.7	0.8
accumulation	0.7143	0.53333	0.73333
accuracy	0.875	0.66667	0.6
accurate	0.85713	0.7	0.73333
accurately	0.83333	0.57577	0.53333
accuse	0.33333	0.74073	0.8
accused	0.33333	0.57143	0.8
accustomed	0.72223	0.37037	0.6
ace	1	0.42857	0.86667
aced	0.91667	0.7143	0.73333
achieve	0.96297	0.94443	0.66667
achieved	0.90477	0.93333	0.66667
achievement	0.91667	0.90477	0.73333
achievements	0.83333	0.9091	0.66667
achieving	0.93333	0.875	0.53333
achy	0.33333	0.76667	0.86667
acid	0.41667	0.66667	1
acknowledge	0.6	0.41667	0.8
acknowledged	0.7143	0.5	0.73333
acquainted	0.73333	0.5	0.73333
acquire	0.73333	0.54167	0.93333
acquired	0.58333	0.57143	0.86667
acquiring	0.72727	0.69047	0.66667
acquisition	0.6111	0.55557	0.66667
acreage	0.55557	0.44443	0.73333
acres	0.66667	0.51517	1
across	0.66667	0.54167	0.73333
act	0.57143	0.8	1
acted	0.46667	0.66667	0.66667
acting	0.58333	0.81817	1
action	0.66667	0.96297	0.86667
actions	0.77777	0.97223	0.73333
active	0.8	0.875	1
actively	0.80953	0.8	0.66667
activist	0.73333	0.79167	0.86667
activities	0.77777	0.80557	0.86667
activity	0.8889	0.8148	0.93333
actor	0.8	0.66667	1
actor*s	0.7	0.76923	0.66667
actors	0.6111	0.77777	0.86667
acts	0.72223	0.8148	0.73333
actual	0.66667	0.41667	0.53333
actually	0.55557	0.48147	0.53333
acute	0.43333	0.6154	0.8
ad	0.72223	0.48147	0.86667
adaptation	0.5238	0.73333	0.73333
adapted	0.66667	0.66667	0.73333
add	0.66667	0.5926	0.6
added	0.66667	0.55557	0.66667
adding	0.7143	0.63333	0.66667
addition	0.53333	0.45833	0.8
additional	0.6111	0.48147	0.53333
addled	0.6	0.45833	0.4
address	0.625	0.54547	0.93333
addressed	0.625	0.54547	0.6
addresses	0.57143	0.46667	0.66667
adds	0.73333	0.5	0.73333
adequate	0.73333	0.5	0.53333
adequately	0.66667	0.53333	0.46667
adjacent	0.57143	0.46667	0.8
adjoining	0.625	0.54547	0.73333
adjust	0.6111	0.62963	0.53333
adjusted	0.7619	0.6	0.73333
adjusting	0.5	0.5926	0.73333
adjustment	0.53333	0.66667	0.66667
adjustments	0.53333	0.625	0.73333
administered	0.4	0.54167	0.66667
administration	0.62963	0.6111	0.73333
administrative	0.5	0.51853	0.53333
administrator	0.42857	0.56667	0.8
admirable	0.92593	0.55557	0.93333
admiration	0.83333	0.5926	0.6
admire	0.63333	0.53333	0.93333
admired	0.91667	0.60607	0.73333
admission	0.66667	0.54547	0.66667
admit	0.55557	0.55557	0.8
admitted	0.66667	0.66667	0.66667
adolescence	0.6	0.625	0.93333
adolescent	0.46667	0.66667	0.86667
adopt	0.6111	0.85187	0.73333
adopted	0.57143	0.83333	0.73333
adopting	0.7037	0.91667	0.66667
adoption	0.55557	0.75	0.73333
adoring	0.91667	0.7143	0.53333
adrenaline	0.77777	0.8889	0.73333
ads	0.75	0.38097	0.66667
adult	0.8	0.6923	0.93333
adults	0.6	0.625	0.86667
advance	0.75	0.57143	0.66667
advanced	0.80953	0.56667	0.66667
advancement	0.77777	0.5926	0.53333
advances	0.83333	0.72727	0.8
advantage	0.85713	0.7	0.73333
advantages	0.83333	0.69697	0.53333
adventure	0.94443	1	0.86667
adventures	0.8889	0.94443	0.8
adverse	0.46667	0.54167	0.4
advertising	0.66667	0.66667	0.93333
advice	0.83333	0.63637	0.8
advise	0.77777	0.52777	0.8
advised	0.66667	0.7	0.66667
advisee	0.66667	0.53333	0.73333
advisers	0.66667	0.57577	0.8
advisory	0.5238	0.56667	0.4
advocate	0.75	0.66667	0.6
aesthetic	0.72223	0.44443	0.4
affair	0.41667	0.7619	0.8
affairs	0.3889	0.77777	0.8
affect	0.58333	0.61903	0.53333
affected	0.66667	0.5238	0.6
affection	0.92593	0.75	0.66667
affects	0.66667	0.63333	0.46667
affirm	0.66667	0.61903	0.53333
affixed	0.57143	0.46667	0.46667
affliction	0.46667	0.54167	0.53333
afford	0.79167	0.63637	0.6
afforded	0.58333	0.57143	0.6
afraid	0.33333	0.79167	0.86667
africa	0.7143	0.53333	1
african	0.66667	0.45833	1
after	0.6	0.41667	0.46667
after-thought	0.58333	0.4762	0.46667
afternoon	0.81817	0.4762	0.93333
afternoons	0.77777	0.51853	0.93333
afterward	0.72223	0.44443	0.46667
afterwards	0.625	0.45453	0.46667
again	0.6	0.5	0.46667
against	0.38097	0.43333	0.66667
age	0.6	0.625	0.66667
aged	0.5	0.57577	0.73333
agencies	0.6111	0.51853	0.66667
agency	0.58333	0.60607	0.73333
agent	0.53333	0.41667	0.93333
agents	0.4762	0.46667	0.73333
ages	0.53333	0.54167	0.4
aggravate	0.37037	0.80557	0.66667
aggravating	0.33333	0.74073	0.66667
aggression	0.33333	0.75	0.53333
aggressive	0.4	0.89743	0.73333
aghast	0.33333	0.5926	0.4
agitated	0.44443	0.74073	0.73333
ago	0.53333	0.38097	0.33333
agree	0.8889	0.62963	0.66667
agreeable	0.9	0.6923	0.66667
agreed	0.8889	0.5926	0.4
agreement	0.85713	0.66667	0.8
agreements	0.72223	0.55557	0.66667
agrees	0.8	0.54167	0.53333
agricultural	0.6	0.41667	0.6
agriculture	0.7619	0.43333	0.73333
ah	0.8	0.5	0.46667
ahead	0.51853	0.55557	0.53333
aid	0.73333	0.54167	0.53333
aided	0.83333	0.57577	0.6
aids	0.54167	0.69697	0.8
aim	0.85713	0.6	0.6
aimed	0.66667	0.54167	0.73333
aims	0.8	0.625	0.53333
ain*t	0.38097	0.5	0.33333
air	0.66667	0.46667	0.8
aircraft	0.625	0.57577	0.93333
airplane	0.5	0.5926	0.86667
airplanes	0.57143	0.6	1
airport	0.55557	0.5926	1
akin	0.6	0.375	0.33333
alarm	0.33333	0.75	0.86667
alarmed	0.33333	0.79167	0.6
alarming	0.33333	0.8611	0.66667
alas	0.66667	0.4074	0.33333
alcohol	0.57143	0.73333	1
alcoholic	0.33333	0.72223	1
alert	0.66667	0.83333	0.73333
alien	0.4762	0.6	1
alienation	0.33333	0.57577	0.66667
alike	0.75	0.45453	0.46667
alive	0.8889	0.83333	0.8
all	0.66667	0.46667	0.4
alleged	0.4	0.375	0.4
alliance	0.73333	0.41667	0.53333
allied	0.77777	0.48147	0.46667
allies	0.61903	0.53333	0.73333
allocation	0.66667	0.47223	0.4
allotment	0.5926	0.52777	0.4
allotted	0.5	0.38097	0.4
allow	0.77777	0.33333	0.46667
allowance	0.83333	0.42857	0.86667
allowances	0.9	0.6154	0.6
allowed	0.66667	0.45833	0.66667
allowing	0.58333	0.4762	0.46667
allows	0.66667	0.63333	0.53333
almost	0.5	0.55557	0.6
alone	0.33333	0.48483	0.73333
along	0.61903	0.5	0.66667
alongside	0.625	0.45453	0.73333
aloud	0.66667	0.62963	0.6
already	0.5926	0.5	0.46667
alright	0.73333	0.5	0.53333
also	0.6	0.45833	0.4
alter	0.58333	0.66667	0.86667
altered	0.55557	0.69443	0.66667
alternate	0.61903	0.66667	0.6
alternative	0.57143	0.56667	0.6
alternatives	0.625	0.57577	0.6
alters	0.5238	0.63333	0.8
although	0.625	0.54547	0.46667
altogether	0.83333	0.7037	0.73333
aluminum	0.5	0.4762	1
always	0.66667	0.44443	0.46667
am	0.75	0.4762	0.33333
amateur	0.33333	0.57143	0.86667
amazed	0.85187	0.80557	0.66667
amazement	0.80953	0.76667	0.73333
amazing	0.75	0.66667	0.53333
ambassador	0.7143	0.63333	0.93333
ambiguity	0.46667	0.41667	0.46667
ambiguous	0.5	0.54547	0.46667
ambition	0.73333	0.66667	0.6
ambitions	0.93333	0.75	0.53333
ambitious	0.70833	0.83333	0.46667
amen	0.83333	0.77777	0.8
amended	0.55557	0.5	0.33333
amendment	0.53333	0.53333	0.53333
amends	0.75	0.55557	0.53333
american	0.5238	0.66667	1
amiably	0.73333	0.5	0.4
amid	0.5926	0.66667	0.33333
